2015-12-20 21:56:16 [NOTICE] emotion: normal
2015-12-20 21:56:27 [NOTICE] emotion: normal
2015-12-20 21:56:42 [NOTICE] emotion: normal
2015-12-20 21:56:48 [NOTICE] emotion: normal
2015-12-20 21:57:07 [NOTICE] emotion: warai
2015-12-20 21:57:18 [NOTICE] emotion: warai
2015-12-20 21:57:25 [NOTICE] emotion: normal
2015-12-20 21:57:38 [NOTICE] emotion: normal
2015-12-20 21:57:47 [NOTICE] emotion: normal
2015-12-20 21:57:53 [NOTICE] emotion: dere
2015-12-20 21:58:00 [NOTICE] emotion: normal
2015-12-20 21:58:06 [NOTICE] emotion: warai
2015-12-20 21:58:14 [NOTICE] emotion: dere
2015-12-20 21:58:45 [NOTICE] emotion: normal
2015-12-20 21:58:52 [NOTICE] emotion: warai
2015-12-20 21:58:58 [NOTICE] emotion: normal
2015-12-20 21:59:04 [NOTICE] emotion: normal
2015-12-20 21:59:33 [NOTICE] emotion: normal
2015-12-20 21:59:47 [NOTICE] emotion: normal
2015-12-20 22:00:20 [NOTICE] emotion: normal
2015-12-20 22:00:29 [NOTICE] emotion: normal
2015-12-20 22:00:38 [NOTICE] emotion: normal
2015-12-20 22:00:49 [NOTICE] emotion: dere
2015-12-20 22:00:55 [NOTICE] emotion: normal
2015-12-20 22:01:07 [NOTICE] emotion: normal
2015-12-20 22:01:17 [NOTICE] emotion: normal
2015-12-20 22:01:26 [NOTICE] emotion: warai
2015-12-20 22:01:32 [NOTICE] emotion: normal
2015-12-20 22:01:49 [NOTICE] emotion: normal
2015-12-20 22:02:11 [NOTICE] emotion: normal
2015-12-20 22:02:21 [NOTICE] emotion: normal
2015-12-20 22:02:28 [NOTICE] emotion: normal
2015-12-20 22:02:38 [NOTICE] emotion: normal
2015-12-20 22:02:43 [NOTICE] emotion: dere
2015-12-20 22:02:52 [NOTICE] emotion: normal
2015-12-20 22:03:01 [NOTICE] emotion: normal
2015-12-20 22:03:05 [NOTICE] emotion: normal
2015-12-20 22:03:24 [NOTICE] emotion: normal
2015-12-20 22:03:31 [NOTICE] emotion: normal
2015-12-20 22:04:01 [NOTICE] emotion: dere
2015-12-20 22:04:07 [NOTICE] emotion: normal
2015-12-20 22:04:11 [NOTICE] emotion: normal
2015-12-20 22:04:17 [NOTICE] emotion: normal
2015-12-20 22:04:23 [NOTICE] emotion: normal
2015-12-20 22:04:31 [NOTICE] emotion: normal
2015-12-20 22:05:11 [NOTICE] emotion: normal
2015-12-20 22:05:27 [NOTICE] emotion: normal
2015-12-20 22:05:38 [NOTICE] emotion: normal
2015-12-20 22:05:54 [NOTICE] emotion: normal
2015-12-20 22:06:03 [NOTICE] emotion: normal
2015-12-20 22:06:22 [NOTICE] emotion: normal
2015-12-20 22:06:26 [NOTICE] emotion: normal
2015-12-20 22:07:02 [NOTICE] emotion: normal
2015-12-20 22:07:10 [NOTICE] emotion: normal
2015-12-20 22:07:15 [NOTICE] emotion: normal
2015-12-20 22:07:25 [NOTICE] emotion: normal
2015-12-20 22:07:33 [NOTICE] emotion: normal
2015-12-20 22:07:44 [NOTICE] emotion: normal
2015-12-20 22:07:57 [NOTICE] emotion: normal
2015-12-20 22:08:02 [NOTICE] emotion: normal
2015-12-20 22:08:23 [NOTICE] emotion: normal
2015-12-20 22:08:29 [NOTICE] emotion: normal
2015-12-20 22:08:37 [NOTICE] emotion: normal
2015-12-20 22:08:48 [NOTICE] emotion: normal
2015-12-20 22:08:58 [NOTICE] emotion: normal
2015-12-20 22:09:07 [NOTICE] emotion: normal
2015-12-20 22:09:25 [NOTICE] emotion: dere
2015-12-20 22:09:35 [NOTICE] emotion: normal
2015-12-20 22:10:00 [NOTICE] emotion: normal
2015-12-20 22:10:26 [NOTICE] emotion: normal
2015-12-20 22:10:30 [NOTICE] emotion: normal
2015-12-20 22:10:37 [NOTICE] emotion: normal
2015-12-20 22:11:02 [NOTICE] emotion: normal
2015-12-20 22:11:09 [NOTICE] emotion: normal
2015-12-20 22:11:17 [NOTICE] emotion: normal
2015-12-20 22:11:26 [NOTICE] emotion: normal
2015-12-20 22:11:32 [NOTICE] emotion: normal
2015-12-20 22:11:47 [NOTICE] emotion: normal
2015-12-20 22:11:57 [NOTICE] emotion: normal
2015-12-20 22:12:08 [NOTICE] emotion: dere
2015-12-20 22:12:18 [NOTICE] emotion: warai
2015-12-20 22:12:28 [NOTICE] emotion: normal
2015-12-20 22:12:32 [NOTICE] emotion: normal
2015-12-20 22:13:21 [NOTICE] emotion: normal
2015-12-20 22:13:43 [NOTICE] emotion: normal
2015-12-20 22:13:56 [NOTICE] emotion: dere
2015-12-20 22:14:15 [NOTICE] emotion: normal
2015-12-20 22:14:19 [NOTICE] emotion: normal
2015-12-20 22:14:30 [NOTICE] emotion: normal
2015-12-20 22:14:51 [NOTICE] emotion: dere
2015-12-20 22:15:00 [NOTICE] emotion: normal
2015-12-20 22:15:07 [NOTICE] emotion: normal
2015-12-20 22:15:18 [NOTICE] emotion: normal
2015-12-20 22:15:33 [NOTICE] emotion: normal
2015-12-20 22:15:51 [NOTICE] emotion: normal
2015-12-20 22:15:58 [NOTICE] emotion: normal
2015-12-20 22:16:02 [NOTICE] emotion: normal
2015-12-20 22:16:07 [NOTICE] emotion: dere
2015-12-20 22:16:12 [NOTICE] emotion: normal
2015-12-20 22:16:19 [NOTICE] emotion: normal
2015-12-20 22:16:23 [NOTICE] emotion: normal
2015-12-20 22:16:40 [NOTICE] emotion: normal
2015-12-20 22:16:51 [NOTICE] emotion: dere
2015-12-20 22:17:23 [NOTICE] emotion: normal
2015-12-20 22:17:48 [NOTICE] emotion: normal
2015-12-20 22:17:56 [NOTICE] emotion: normal
2015-12-20 22:18:07 [NOTICE] emotion: normal
2015-12-20 22:18:13 [NOTICE] emotion: normal
2015-12-20 22:18:46 [NOTICE] emotion: normal
2015-12-20 22:19:01 [NOTICE] emotion: normal
2015-12-20 22:19:16 [NOTICE] emotion: dere
2015-12-20 22:19:26 [NOTICE] emotion: warai
2015-12-20 22:19:30 [NOTICE] emotion: normal
2015-12-20 22:19:38 [NOTICE] emotion: normal
2015-12-20 22:19:44 [NOTICE] emotion: warai
2015-12-20 22:20:16 [NOTICE] emotion: normal
2015-12-20 22:20:25 [NOTICE] emotion: normal
2015-12-20 22:20:34 [NOTICE] emotion: dere
2015-12-20 22:20:47 [NOTICE] emotion: normal
2015-12-20 22:20:56 [NOTICE] emotion: dere
2015-12-20 22:21:21 [NOTICE] emotion: warai
2015-12-20 22:21:28 [NOTICE] emotion: warai
2015-12-20 22:21:35 [NOTICE] emotion: normal
2015-12-20 22:21:49 [NOTICE] emotion: normal
2015-12-21 09:44:07 [NOTICE] DBを閉じて終了しました
2015-12-21 10:56:40 [NOTICE] DBを閉じて終了しました
2015-12-21 10:57:15 [NOTICE] DBを閉じて終了しました
2015-12-21 10:57:21 [NOTICE] DBを閉じて終了しました
2015-12-21 10:58:07 [NOTICE] DBを閉じて終了しました
2015-12-21 10:59:47 [NOTICE] DBを閉じて終了しました
2015-12-21 11:00:07 [NOTICE] DBを閉じて終了しました
2015-12-21 11:00:38 [NOTICE] DBを閉じて終了しました
2015-12-21 11:00:39 [NOTICE] DBを閉じて終了しました
2015-12-21 11:02:27 [NOTICE] DBを閉じて終了しました
2015-12-21 11:03:02 [NOTICE] DBを閉じて終了しました
2015-12-21 11:03:29 [NOTICE] DBを閉じて終了しました
2015-12-21 11:03:41 [NOTICE] DBを閉じて終了しました
2015-12-21 11:03:55 [NOTICE] DBを閉じて終了しました
2015-12-21 11:04:06 [NOTICE] DBを閉じて終了しました
2015-12-21 11:04:21 [NOTICE] DBを閉じて終了しました
2015-12-21 11:05:10 [NOTICE] DBを閉じて終了しました
2015-12-21 11:20:36 [NOTICE] DBを閉じて終了しました
2015-12-21 11:20:46 [NOTICE] DBを閉じて終了しました
2015-12-21 11:31:00 [NOTICE] emotion: normal
2015-12-21 11:34:19 [NOTICE] emotion: dere
