2015-12-20 19:58:17 [NOTICE] emotion: normal
2015-12-20 19:58:23 [NOTICE] emotion: normal
2015-12-20 19:58:43 [NOTICE] emotion: normal
2015-12-20 19:59:50 [NOTICE] DBを閉じて終了しました
2015-12-20 20:00:00 [NOTICE] emotion: normal
2015-12-20 20:00:09 [NOTICE] emotion: normal
2015-12-20 20:00:15 [NOTICE] emotion: normal
2015-12-20 20:00:19 [NOTICE] emotion: normal
2015-12-20 20:00:30 [NOTICE] emotion: normal
2015-12-20 20:00:37 [NOTICE] emotion: normal
2015-12-20 20:00:55 [NOTICE] emotion: normal
2015-12-20 20:01:20 [NOTICE] emotion: normal
2015-12-20 20:01:56 [NOTICE] emotion: normal
2015-12-20 20:02:05 [NOTICE] emotion: normal
2015-12-20 20:02:19 [NOTICE] emotion: normal
2015-12-20 20:02:25 [NOTICE] emotion: normal
2015-12-20 20:02:34 [NOTICE] emotion: normal
2015-12-20 20:02:38 [NOTICE] emotion: normal
2015-12-20 20:02:52 [NOTICE] emotion: normal
2015-12-20 20:03:00 [NOTICE] emotion: normal
2015-12-20 20:03:05 [NOTICE] emotion: normal
2015-12-20 20:03:24 [NOTICE] emotion: normal
2015-12-20 20:03:32 [NOTICE] emotion: normal
2015-12-20 20:03:51 [NOTICE] emotion: normal
2015-12-20 20:04:54 [NOTICE] emotion: normal
2015-12-20 20:05:03 [NOTICE] emotion: normal
2015-12-20 20:05:10 [NOTICE] emotion: normal
2015-12-20 20:05:20 [NOTICE] emotion: normal
2015-12-20 20:05:26 [NOTICE] emotion: normal
2015-12-20 20:05:34 [NOTICE] emotion: normal
2015-12-20 20:05:44 [NOTICE] emotion: normal
2015-12-20 20:05:53 [NOTICE] emotion: normal
2015-12-20 20:05:59 [NOTICE] emotion: normal
2015-12-20 20:06:04 [NOTICE] emotion: normal
2015-12-20 20:06:11 [NOTICE] emotion: normal
2015-12-20 20:06:20 [NOTICE] emotion: normal
2015-12-20 20:06:44 [NOTICE] emotion: normal
2015-12-20 20:06:51 [NOTICE] emotion: dere
2015-12-20 20:07:25 [NOTICE] emotion: normal
2015-12-20 20:07:32 [NOTICE] emotion: normal
2015-12-20 20:07:36 [NOTICE] emotion: normal
2015-12-20 20:07:41 [NOTICE] emotion: normal
2015-12-20 20:07:47 [NOTICE] emotion: normal
2015-12-20 20:07:51 [NOTICE] emotion: normal
2015-12-20 20:07:59 [NOTICE] emotion: normal
2015-12-20 20:08:04 [NOTICE] emotion: normal
2015-12-20 20:08:28 [NOTICE] emotion: normal
2015-12-20 20:08:33 [NOTICE] emotion: normal
2015-12-20 20:08:37 [NOTICE] emotion: normal
2015-12-20 20:08:44 [NOTICE] emotion: normal
2015-12-20 20:08:55 [NOTICE] emotion: normal
2015-12-20 20:09:04 [NOTICE] emotion: normal
2015-12-20 20:09:19 [NOTICE] emotion: normal
2015-12-20 20:09:26 [NOTICE] emotion: normal
2015-12-20 20:09:31 [NOTICE] emotion: normal
2015-12-20 20:09:39 [NOTICE] emotion: normal
2015-12-20 20:09:53 [NOTICE] emotion: normal
2015-12-20 20:10:03 [NOTICE] emotion: normal
2015-12-20 20:10:11 [NOTICE] emotion: normal
2015-12-20 20:10:21 [NOTICE] emotion: normal
2015-12-20 20:10:42 [NOTICE] emotion: normal
2015-12-20 20:10:47 [NOTICE] emotion: normal
2015-12-20 20:10:54 [NOTICE] emotion: normal
2015-12-20 20:11:28 [NOTICE] emotion: normal
2015-12-20 20:11:39 [NOTICE] emotion: normal
2015-12-20 20:11:51 [NOTICE] emotion: normal
2015-12-20 20:12:06 [NOTICE] emotion: normal
2015-12-20 20:12:11 [NOTICE] emotion: normal
2015-12-20 20:12:21 [NOTICE] emotion: normal
2015-12-20 20:12:34 [NOTICE] emotion: normal
2015-12-20 20:13:00 [NOTICE] emotion: normal
2015-12-20 20:13:09 [NOTICE] emotion: normal
2015-12-20 20:13:16 [NOTICE] emotion: normal
2015-12-20 20:13:20 [NOTICE] emotion: normal
2015-12-20 20:13:25 [NOTICE] emotion: normal
2015-12-20 20:13:29 [NOTICE] emotion: normal
2015-12-20 20:13:35 [NOTICE] emotion: normal
2015-12-20 20:14:07 [NOTICE] emotion: normal
2015-12-20 20:14:25 [NOTICE] emotion: normal
2015-12-20 20:14:45 [NOTICE] emotion: normal
2015-12-20 20:15:03 [NOTICE] emotion: normal
2015-12-20 20:15:17 [NOTICE] emotion: normal
2015-12-20 20:15:46 [NOTICE] emotion: normal
2015-12-20 20:16:23 [NOTICE] DBを閉じて終了しました
2015-12-20 20:16:33 [NOTICE] emotion: normal
2015-12-20 20:16:39 [NOTICE] emotion: normal
2015-12-20 20:16:44 [NOTICE] emotion: normal
2015-12-20 20:16:52 [NOTICE] emotion: normal
2015-12-20 20:17:17 [NOTICE] emotion: normal
2015-12-20 20:17:58 [NOTICE] emotion: normal
2015-12-20 20:18:32 [NOTICE] emotion: normal
2015-12-20 20:18:37 [NOTICE] emotion: normal
2015-12-20 20:18:43 [NOTICE] emotion: normal
2015-12-20 20:18:50 [NOTICE] emotion: normal
2015-12-20 20:18:56 [NOTICE] emotion: normal
2015-12-20 20:19:01 [NOTICE] emotion: normal
2015-12-20 20:19:12 [NOTICE] emotion: normal
2015-12-20 20:19:17 [NOTICE] emotion: normal
2015-12-20 20:19:23 [NOTICE] emotion: normal
2015-12-20 20:19:47 [NOTICE] emotion: normal
2015-12-20 20:20:01 [NOTICE] emotion: normal
2015-12-20 20:20:13 [NOTICE] emotion: normal
2015-12-20 20:20:25 [NOTICE] emotion: normal
2015-12-20 20:21:37 [NOTICE] emotion: normal
2015-12-20 20:21:43 [NOTICE] emotion: normal
2015-12-20 20:21:58 [NOTICE] emotion: normal
2015-12-20 20:22:05 [NOTICE] emotion: normal
2015-12-20 20:22:52 [NOTICE] emotion: normal
2015-12-20 20:23:02 [NOTICE] emotion: normal
2015-12-20 20:23:20 [NOTICE] emotion: normal
2015-12-20 20:23:34 [NOTICE] emotion: normal
2015-12-20 20:23:45 [NOTICE] emotion: normal
2015-12-20 20:23:50 [NOTICE] emotion: dere
2015-12-20 20:24:15 [NOTICE] emotion: normal
